q_id,q_body,q_types,,,
QALD2_te-42,is the husband of Amanda Palmer,<dbo:Person> 7,,,
INEX_XER-62,Neil Gaiman novels,<dbo:Novel> 7,,,
SemSearch_ES-79,shobana masala,<dbo:Artist> 7,,,
QALD2_te-66,ships were called after Benjamin Franklin,<dbo:Ship> 7,,,
INEX_XER-130,Star Trek Captains,<dbo:Person> 4,<dbo:TelevisionShow> 2,,
INEX_XER-95,Tom Hanks movies he plays a leading role,<dbo:Film> 7,,,
QALD2_te-19,all people that were born in Vienna and died in Berlin,<dbo:Person> 7,,,
SemSearch_ES-2,B F Skinner,<dbo:Person> 7,,,
TREC_Entity-7,Airlines that currently use Boeing 747 planes,<dbo:Airline> 7,,,
INEX_LD-2012341,1997  Houston airport president,<dbo:Person> 1,<dbo:Airport> 6,,
INEX_LD-2012357, prima ballerina Bolshoi Theatre 1960,<dbo:Person> 7,,,
SemSearch_ES-22,city of charlotte,<dbo:City> 7,,,
SemSearch_ES-25,david suchet,<dbo:Person> 7,,,
SemSearch_LS-42,twelve tribes or sons of Israel,<dbo:EthnicGroup> 4,<dbo:MythologicalFigure> 2,,
QALD2_tr-89,all soccer clubs in the Premier League,<dbo:FootballLeagueSeason> 1,<dbo:SoccerClub> 6,,
QALD2_te-43,all breeds of the German Shepherd dog,<dbo:Species> 5,,,
SemSearch_ES-120,lawrence general hospital,<dbo:Hospital> 7,,,
QALD2_tr-1,all female Russian astronauts,<dbo:Astronaut> 7,,,
TREC_Entity-6,Organizations that award Nobel prizes,<dbo:Award> 2,<dbo:Organisation> 5,,
QALD2_te-89,In city was the former Dutch queen Juliana buried,<dbo:City> 7,,,
QALD2_tr-47,is the highest place of Karakoram,<dbo:Place> 7,,,
SemSearch_ES-7,airsoft glock,<dbo:Weapon> 3,<dbo:Software> 4,,
INEX_XER-121,US presidents since 1960,<dbo:President> 7,,,
QALD2_te-63,all Argentine films,<dbo:Film> 7,,,
SemSearch_ES-101,ashley wagner,<dbo:FigureSkater> 7,,,
SemSearch_ES-21,charles darwin,<dbo:Scientist> 7,,,
QALD2_tr-38,monarchs of the United Kingdom were married to a German,<dbo:Person> 7,,,
INEX_LD-2012383,famous computer scientists disappeared at sea,<dbo:Person> 7,,,
INEX_LD-2012325,successor James G Blaine studied law,<dbo:Person> 7,,,
SemSearch_ES-33,harry potter,<dbo:FictionalCharacter> 4,<dbo:Novel> 3,,
TREC_Entity-15,Universities that are members of the SEC conference for football,<dbo:University> 7,,,
SemSearch_ES-28,el salvador,<dbo:Country> 7,,,
SemSearch_ES-137,steak express,<dbo:Restaurant> 6,,,
SemSearch_LS-13,five great epics of Tamil literature,<dbo:WrittenWork> 7,,,
INEX_LD-2009063,D Day normandy invasion,<dbo:MilitaryConflict> 3,<dbo:TimePeriod> 1,<dbo:MilitaryUnit> 1,
SemSearch_ES-100,YMCA Tampa,<dbo:Place> 4,<dbo:Organisation> 3,,
SemSearch_ES-32,fitzgerald auto mall chambersburg pa,<dbo:Company> 1,<dbo:ShoppingMall> 6,,
QALD2_tr-70,all films produced by Hal Roach,<dbo:Film> 7,,,
